p,rh,t,ts
101.619,79.97,21.192,1550941265.48513
101.618,79.97,21.192,1550941267.95216
101.621,79.94,21.193,1550941270.41939
101.617,79.92,21.198,1550941272.88733
101.619,79.91,21.2,1550941275.35508
101.615,79.89,21.203,1550941277.82262
101.616,79.89,21.21,1550941280.28992
101.618,79.89,21.209,1550941282.74782
101.619,79.89,21.216,1550941285.21526
101.618,79.9,21.22,1550941287.68224
101.617,79.89,21.218,1550941290.14986
101.617,79.88,21.225,1550941292.61822
101.616,79.83,21.223,1550941295.08324
101.618,79.8,21.224,1550941297.55136
101.62,79.77,21.225,1550941300.01854
101.617,79.76,21.227,1550941302.48703
101.613,79.77,21.226,1550941304.95545
101.617,79.77,21.231,1550941307.42261
101.616,79.76,21.231,1550941309.89125
101.616,79.75,21.239,1550941312.35902
101.614,79.75,21.232,1550941314.82657
101.618,79.75,21.238,1550941317.28946
101.616,79.76,21.236,1550941319.74812
101.616,79.75,21.235,1550941322.21648
101.613,79.73,21.229,1550941324.68435
101.617,79.7,21.228,1550941327.15220
101.62,79.69,21.227,1550941329.61933
101.619,79.7,21.229,1550941332.08697
101.615,79.7,21.221,1550941334.55461
101.618,79.71,21.214,1550941337.02414
101.614,79.71,21.214,1550941339.49602
101.616,79.73,21.211,1550941341.96423
101.615,79.76,21.209,1550941344.43212
101.618,79.78,21.208,1550941346.89776
101.617,79.81,21.205,1550941349.36518
101.614,79.84,21.203,1550941351.83234
101.618,79.86,21.205,1550941354.29921
101.616,79.86,21.199,1550941356.76655
101.619,79.87,21.195,1550941359.23398
101.619,79.88,21.195,1550941361.69817
101.617,79.9,21.196,1550941364.16541
101.62,79.91,21.192,1550941366.63289
101.619,79.9,21.187,1550941369.10189
101.616,79.9,21.185,1550941371.57182
101.613,79.88,21.176,1550941374.03918
101.616,79.85,21.177,1550941376.50659
101.62,79.84,21.169,1550941378.97409
101.619,79.86,21.162,1550941381.43787
101.616,79.89,21.168,1550941383.90610
101.618,79.91,21.16,1550941386.37253
101.617,79.91,21.162,1550941388.84217
101.616,79.92,21.166,1550941391.30961
101.616,79.91,21.16,1550941393.76792
101.615,79.89,21.159,1550941396.23561
101.616,79.87,21.155,1550941398.69823
101.62,79.87,21.153,1550941401.16537
101.617,79.86,21.149,1550941403.63295
101.62,79.85,21.144,1550941406.10018
101.618,79.87,21.148,1550941408.55855
101.62,79.88,21.148,1550941411.02672
101.616,79.88,21.148,1550941413.49417
101.619,79.88,21.142,1550941415.96258
101.619,79.86,21.132,1550941418.42974
101.619,79.85,21.14,1550941420.89633
101.618,79.84,21.137,1550941423.36568
101.619,79.83,21.132,1550941425.82581
101.62,79.83,21.129,1550941428.29337
101.621,79.86,21.131,1550941430.76065
101.62,79.87,21.131,1550941433.22813
101.621,79.89,21.134,1550941435.68816
101.622,79.9,21.132,1550941438.15520
101.62,79.88,21.13,1550941440.62246
101.62,79.88,21.128,1550941443.08784
101.624,79.87,21.13,1550941445.55628
101.622,79.87,21.124,1550941448.02467
101.618,79.85,21.126,1550941450.49120
101.622,79.82,21.116,1550941452.95855
101.621,79.83,21.116,1550941455.42621
101.622,79.84,21.113,1550941457.89323
101.62,79.85,21.109,1550941460.35969
101.623,79.86,21.11,1550941462.82718
101.621,79.87,21.107,1550941465.29638
101.619,79.88,21.113,1550941467.76339
101.621,79.9,21.107,1550941470.23059
101.622,79.93,21.109,1550941472.69891
101.618,79.96,21.11,1550941475.16601
101.621,80,21.118,1550941477.63324
101.62,80.04,21.122,1550941480.10052
101.622,80.07,21.125,1550941482.56765
101.623,80.09,21.133,1550941485.03475
101.625,80.1,21.133,1550941487.50188
