p_int,rh_int,t_int,ts
107.492,10.83,29.825,1550877063.1796632
107.498,10.83,29.84,1550877073.7482457
107.508,10.84,29.846,1550877084.2589974
107.509,10.84,29.837,1550877094.803704
107.511,10.86,29.833,1550877105.3371556
107.522,10.86,29.854,1550877115.8465574
107.523,10.88,29.857,1550877126.4099123
107.528,10.87,29.878,1550877136.898092
107.526,10.88,29.871,1550877147.4269562
107.529,10.89,29.871,1550877157.944221
107.529,10.89,29.882,1550877168.4718754
107.534,10.89,29.895,1550877179.007402
107.534,10.9,29.889,1550877189.5371776
107.543,10.9,29.892,1550877200.0684452
107.548,10.9,29.897,1550877210.5973501
107.546,10.91,29.905,1550877221.1420546
107.549,10.91,29.92,1550877231.6637473
107.552,10.92,29.922,1550877242.2100835
107.547,10.92,29.936,1550877252.7550106
107.553,10.92,29.951,1550877263.252771
107.549,10.92,29.957,1550877273.79154
107.543,10.92,29.965,1550877284.3282585
107.538,10.92,29.964,1550877294.8749306
107.534,10.93,29.967,1550877305.402769
107.532,10.92,29.971,1550877315.949195
107.52,10.92,29.983,1550877326.4878757
107.517,10.93,30.0,1550877336.9889295
107.509,10.92,30.004,1550877347.4869196
107.501,10.92,29.998,1550877358.0138814
107.498,10.93,30.001,1550877368.5340893
107.487,10.92,30.001,1550877379.0402465
107.483,10.92,30.005,1550877389.5422385
107.471,10.92,29.999,1550877400.079873
107.463,10.92,30.004,1550877410.6195526
107.454,10.92,30.015,1550877421.1204503
107.443,10.91,30.017,1550877431.634054
107.438,10.91,30.015,1550877442.1669052
107.426,10.91,30.014,1550877452.6851177
107.42,10.91,30.03,1550877463.1935909
107.412,10.9,30.026,1550877473.7257364
107.399,10.9,30.024,1550877484.2459836
107.392,10.9,30.024,1550877494.7955053
107.379,10.89,30.029,1550877505.2971928
107.369,10.88,30.01,1550877515.8189542
107.365,10.88,30.012,1550877526.3561964
107.355,10.88,30.006,1550877536.888131
107.35,10.88,30.02,1550877547.4326367
107.346,10.87,30.024,1550877557.923385
107.339,10.87,30.012,1550877568.4180975
107.324,10.86,30.013,1550877578.8977518
107.318,10.86,30.004,1550877589.4020898
107.306,10.86,29.982,1550877599.9446845
107.301,10.86,29.993,1550877610.459519
107.289,10.85,29.985,1550877620.962974
107.288,10.85,29.962,1550877631.5045369
107.276,10.85,29.962,1550877642.0419486
107.263,10.84,29.963,1550877652.5432184
107.257,10.84,29.938,1550877663.0722141
107.247,10.84,29.93,1550877673.6196494
107.238,10.83,29.925,1550877684.1211827
107.23,10.83,29.912,1550877694.654444
107.221,10.83,29.902,1550877705.1922863
107.216,10.83,29.898,1550877715.6876848
107.21,10.83,29.871,1550877726.220227
107.206,10.83,29.87,1550877736.7593353
107.21,10.82,29.879,1550877747.269291
107.199,10.82,29.871,1550877757.7598755
107.193,10.82,29.848,1550877768.2985442
107.181,10.82,29.839,1550877778.8029494
107.182,10.82,29.821,1550877789.3355312
107.172,10.83,29.816,1550877799.8481781
107.168,10.82,29.797,1550877810.3794491
107.16,10.82,29.79,1550877820.8893416
107.151,10.82,29.772,1550877831.4199722
107.145,10.81,29.75,1550877841.9731262
107.141,10.81,29.753,1550877852.5140474
107.138,10.82,29.736,1550877863.0523045
107.128,10.82,29.73,1550877873.5383883
107.118,10.82,29.706,1550877884.0421236
107.113,10.82,29.688,1550877894.5806985
107.109,10.83,29.659,1550877905.1225686
107.106,10.83,29.654,1550877915.6699755
107.104,10.82,29.647,1550877926.1985326
107.095,10.82,29.641,1550877936.7010489
107.088,10.82,29.634,1550877947.223684
107.083,10.82,29.623,1550877957.7238777
107.083,10.82,29.607,1550877968.2478926
107.075,10.82,29.595,1550877978.767644
107.069,10.82,29.582,1550877989.2725356
107.066,10.82,29.559,1550877999.8155494
107.064,10.82,29.555,1550878010.335042
107.059,10.82,29.534,1550878020.8638768
107.052,10.83,29.515,1550878031.392629
107.044,10.83,29.502,1550878041.9276612
107.043,10.83,29.494,1550878052.4460826
107.025,10.83,29.485,1550878062.9802856
107.009,10.82,29.47,1550878073.539125
106.952,10.94,29.45,1550878084.0593457
106.923,10.89,29.468,1550878094.5997121
106.93,10.9,29.446,1550878105.117174
106.932,10.9,29.43,1550878115.6201885
