"";"ts";"depth";"p";"dt";"Toptode";"O2Concentration";"AirSaturation";"SNoptode";"Tec";"Conductivity";"Salinity";"SNec";"Chlorophyll";"Turbidity";"pW";"station"
"133";"2018-07-17 11:03:26";2.9498656;133.753;2018-07-17 21:03:26;"27.954";"277.278";"113.401";"829";"27.965";"61.41";"38.699";"1413";"581";"749";29.632;3
"134";"2018-07-17 11:03:33";3.01885375;134.446;2018-07-17 21:03:33;"27.942";"271.903";"111.181";"829";"27.95";"61.386";"38.694";"1413";"602";"761";30.325;3
"135";"2018-07-17 11:03:40";3.0918239;135.179;2018-07-17 21:03:40;"27.93";"267.374";"109.306";"829";"27.949";"61.381";"38.692";"1413";"607";"762";31.058;3
"136";"2018-07-17 11:03:46";3.51759925;139.456;2018-07-17 21:03:46;"27.916";"262.355";"107.226";"829";"27.942";"61.356";"38.679";"1413";"609";"760";35.335;3
"137";"2018-07-17 11:03:53";3.6461183;140.747;2018-07-17 21:03:53;"27.899";"256.475";"104.791";"829";"27.932";"61.573";"38.843";"1413";"704";"768";36.626;3
"138";"2018-07-17 11:04:00";3.68862615;141.174;2018-07-17 21:04:00;"27.894";"255.682";"104.459";"829";"27.929";"61.645";"38.897";"1413";"716";"768";37.053;3
"139";"2018-07-17 11:04:07";3.74497145;141.74;2018-07-17 21:04:07;"27.898";"257.1";"105.046";"829";"27.917";"61.641";"38.904";"1413";"776";"770";37.619;3
"140";"2018-07-17 11:04:14";3.7367088;141.657;2018-07-17 21:04:14;"27.899";"256.428";"104.772";"829";"27.937";"61.603";"38.86";"1413";"760";"767";37.536;3
"141";"2018-07-17 11:04:20";3.972045;144.021;2018-07-17 21:04:20;"27.893";"252.216";"103.041";"829";"27.919";"61.588";"38.864";"1413";"747";"757";39.9;3
"142";"2018-07-17 11:04:27";3.8882239;143.179;2018-07-17 21:04:27;"27.869";"242.381";"98.981";"829";"27.893";"61.565";"38.87";"1413";"716";"757";39.058;3
"143";"2018-07-17 11:04:34";3.860549;142.901;2018-07-17 21:04:34;"27.845";"235.554";"96.151";"829";"27.868";"61.54";"38.872";"1413";"720";"753";38.78;3
"144";"2018-07-17 11:04:41";4.18896445;146.2;2018-07-17 21:04:41;"27.812";"224.42";"91.553";"829";"27.84";"61.522";"38.882";"1413";"706";"751";42.079;3
