p_int,rh_int,t_int,ts
107.369,10.67,30.025,1550804783.9712334
107.359,10.66,30.033,1550804794.470643
107.35,10.66,30.018,1550804804.9873106
107.344,10.65,30.008,1550804815.503773
107.334,10.64,29.999,1550804826.024688
107.324,10.63,30.011,1550804836.5184524
107.319,10.63,29.988,1550804847.054433
107.31,10.62,29.981,1550804857.559104
107.3,10.62,29.976,1550804868.0428705
107.298,10.61,29.955,1550804878.5745473
107.294,10.6,29.947,1550804889.1063604
107.28,10.59,29.937,1550804899.6388807
107.281,10.59,29.925,1550804910.1699655
107.27,10.59,29.916,1550804920.704953
107.258,10.58,29.906,1550804931.2517025
107.259,10.58,29.905,1550804941.7607243
107.246,10.57,29.887,1550804952.290059
107.234,10.57,29.889,1550804962.7925644
107.231,10.56,29.869,1550804973.3220177
107.223,10.56,29.875,1550804983.8053741
107.215,10.55,29.855,1550804994.319944
107.208,10.55,29.836,1550805004.8505704
107.206,10.54,29.821,1550805015.3718486
107.199,10.54,29.824,1550805025.8832057
107.197,10.53,29.816,1550805036.426069
107.188,10.53,29.791,1550805046.9617295
107.173,10.52,29.778,1550805057.4943151
107.175,10.52,29.776,1550805068.0099816
107.166,10.51,29.755,1550805078.5124745
107.157,10.51,29.756,1550805089.0214314
107.152,10.5,29.747,1550805099.5127428
107.154,10.5,29.726,1550805110.0463173
107.142,10.5,29.704,1550805120.5849333
107.13,10.49,29.673,1550805131.1151342
107.131,10.49,29.678,1550805141.6021643
107.125,10.49,29.644,1550805152.129768
107.116,10.48,29.631,1550805162.6548622
107.116,10.48,29.624,1550805173.1755326
107.107,10.47,29.612,1550805183.6985686
107.097,10.48,29.586,1550805194.2420354
107.093,10.47,29.575,1550805204.7727582
107.094,10.47,29.562,1550805215.299611
107.083,10.46,29.555,1550805225.8163953
107.077,10.46,29.533,1550805236.3334038
107.068,10.46,29.519,1550805246.8551288
107.07,10.46,29.515,1550805257.345532
107.063,10.45,29.498,1550805267.8393087
107.057,10.45,29.481,1550805278.3326242
107.048,10.45,29.457,1550805288.8617408
107.019,10.44,29.446,1550805299.397564
106.929,10.54,29.445,1550805309.8873088
106.908,10.49,29.493,1550805320.4124906
