alt,lat,long,ts,ts_gps
19.581,21.886040527,-159.527587645,1478195871.9869447,2019-02-23T17:15:02.000Z
19.581,21.886040527,-159.527587645,1478195872.6120837,2019-02-23T17:15:03.000Z
19.209,21.886032147,-159.527587645,1478195873.531761,2019-02-23T17:15:04.000Z
19.209,21.886032147,-159.527587645,1478195874.868243,2019-02-23T17:15:04.000Z
19.209,21.886032147,-159.527587645,1478195874.9812295,2019-02-23T17:15:05.000Z
19.209,21.886032147,-159.527587645,1478195875.5481746,2019-02-23T17:15:06.000Z
19.209,21.886032147,-159.527587645,1478195876.5317385,2019-02-23T17:15:07.000Z
19.209,21.886032147,-159.527587645,1478195877.8709595,2019-02-23T17:15:07.000Z
19.533,21.88603097,-159.52757858,1478195877.9835274,2019-02-23T17:15:08.000Z
19.533,21.88603097,-159.52757858,1478195878.5310946,2019-02-23T17:15:09.000Z
19.533,21.88603097,-159.52757858,1478195879.530722,2019-02-23T17:15:10.000Z
19.533,21.88603097,-159.52757858,1478195880.8705564,2019-02-23T17:15:10.000Z
19.533,21.88603097,-159.52757858,1478195880.980842,2019-02-23T17:15:11.000Z
19.533,21.88603097,-159.52757858,1478195881.531967,2019-02-23T17:15:12.000Z
19.16,21.886022589,-159.52757858,1478195882.5347447,2019-02-23T17:15:13.000Z
19.16,21.886022589,-159.52757858,1478195883.8698797,2019-02-23T17:15:13.000Z
19.16,21.886022589,-159.52757858,1478195883.9824321,2019-02-23T17:15:14.000Z
19.16,21.886022589,-159.52757858,1478195884.5318804,2019-02-23T17:15:15.000Z
19.16,21.886022589,-159.52757858,1478195885.5492246,2019-02-23T17:15:16.000Z
19.16,21.886022589,-159.52757858,1478195886.8694391,2019-02-23T17:15:16.000Z
19.16,21.886022589,-159.52757858,1478195886.9810858,2019-02-23T17:15:17.000Z
19.16,21.886022589,-159.52757858,1478195887.6075742,2019-02-23T17:15:18.000Z
19.16,21.886022589,-159.52757858,1478195888.533134,2019-02-23T17:15:19.000Z
19.16,21.886022589,-159.52757858,1478195889.8672252,2019-02-23T17:15:19.000Z
19.16,21.886022589,-159.52757858,1478195889.9799216,2019-02-23T17:15:20.000Z
19.16,21.886022589,-159.52757858,1478195890.5305722,2019-02-23T17:15:21.000Z
19.16,21.886022589,-159.52757858,1478195891.53143,2019-02-23T17:15:22.000Z
19.16,21.886022589,-159.52757858,1478195892.8675227,2019-02-23T17:15:22.000Z
19.16,21.886022589,-159.52757858,1478195892.9801936,2019-02-23T17:15:23.000Z
19.16,21.886022589,-159.52757858,1478195893.532179,2019-02-23T17:15:24.000Z
